fid,building_volume,population_density,greenhouse_coverage,road_density,light_pollution,city
7578,208692.73438,109.19745,0.0,10.42179,242.0,Amsterdam
7579,379992.78125,629.68005,0.0,28.07094,242.0,Amsterdam
7580,539351.625,627.28027,0.0,43.32382,314.0,Amsterdam
7581,1277590.625,519.29797,0.0,22.03063,264.0,Amsterdam
7582,413121.3125,202.94601,0.0,25.44913,230.0,Amsterdam
7583,410980.34375,657.72455,0.0,24.60816,252.0,Amsterdam
7584,1965821.875,859.74072,0.0,32.69191,252.0,Amsterdam
7585,2955056.5,655.78241,0.0,31.98355,229.0,Amsterdam
7586,2939147.75,694.42023,0.0,22.29394,195.0,Amsterdam
7587,1134946.625,757.92767,0.0,25.65884,193.0,Amsterdam
7588,542645.0625,358.02197,0.0,44.90588,191.0,Amsterdam
7589,610292.5625,268.50668,0.0,41.49951,174.0,Amsterdam
7590,316822.6875,630.67438,0.0,45.09179,174.0,Amsterdam
7591,312506.8125,243.60884,0.0,25.85248,183.0,Amsterdam
7592,91977.125,157.79294,0.0,12.83445,151.0,Amsterdam
7593,80870.40625,303.60651,0.0,4.30965,97.0,Amsterdam
7594,150074.39063,332.32501,0.0,30.03868,70.0,Amsterdam
7595,160.78259,10.02128,0.0,4.52067,70.0,Amsterdam
7596,2434.18237,0.0,0.0,2.18093,46.0,Amsterdam
7597,1707796.0,444.93549,0.0,40.82584,240.0,Amsterdam
7598,1845907.75,785.03052,0.0,38.74664,230.0,Amsterdam
7599,446425.4375,929.60175,0.0,40.52359,201.0,Amsterdam
7600,308255.03125,773.83826,0.0,43.77563,200.0,Amsterdam
7601,2792100.0,574.67609,0.0,58.7906,199.0,Amsterdam
7602,19296.3125,313.66055,0.0,17.39134,163.0,Amsterdam
7603,420074.84375,521.15906,0.0,40.34011,163.0,Amsterdam
7604,129026.69531,215.41133,0.0,22.97076,129.0,Amsterdam
7605,217535.54688,440.29395,0.0,34.66532,114.0,Amsterdam
7606,260409.42188,625.8963,0.0,14.98592,91.0,Amsterdam
7607,566532.0625,402.65283,0.0,12.79628,62.0,Amsterdam
7608,0.0,15.58454,0.0,,62.0,Amsterdam
7609,3983.11255,17.91599,0.0,7.16065,37.0,Amsterdam
7610,2419.33228,7.61599,0.0,1.06308,186.0,Amsterdam
7611,5066.02637,9.84362,0.0,2.51648,412.0,Amsterdam
7612,178290.23438,124.94279,0.0,23.43007,471.0,Amsterdam
7613,356099.5,354.71078,0.0,70.17561,207.0,Amsterdam
7614,510728.21875,405.91241,0.0,65.93901,191.0,Amsterdam
7615,866193.5,463.33667,0.0,65.3065,191.0,Amsterdam
7616,780806.0625,495.87891,0.0,62.88034,197.0,Amsterdam
7617,729005.5,264.26498,0.0,51.81086,182.0,Amsterdam
7618,580974.25,467.70575,0.0,64.65643,143.0,Amsterdam
7619,20842.24219,39.0615,0.0,16.95585,85.0,Amsterdam
7620,0.0,0.0,0.0,18.5367,85.0,Amsterdam
7621,959.36426,12.87963,0.0,19.09027,56.0,Amsterdam
7622,0.0,0.0,0.0,17.50627,75.0,Amsterdam
7623,0.0,30.27171,0.0,28.9387,90.0,Amsterdam
7624,0.0,0.0,0.0,14.71916,64.0,Amsterdam
7625,0.0,0.0,0.0,11.21541,45.0,Amsterdam
7626,0.0,6.54455,0.0,17.41968,45.0,Amsterdam
7627,2943.65112,53.99888,0.0,15.65823,43.0,Amsterdam
7628,0.0,0.0,0.0,22.83046,43.0,Amsterdam
7629,0.0,0.0,0.0,6.30359,46.0,Amsterdam
7630,0.0,0.0,0.0,,90.0,Amsterdam
7631,6266.5083,101.67252,0.0,10.12533,90.0,Amsterdam
7632,832506.6875,560.67883,0.0,30.26861,204.0,Amsterdam
7633,7960020.0,1105.19226,0.0,47.97943,295.0,Amsterdam
7634,3181666.5,1431.93286,0.0,41.33724,338.0,Amsterdam
7635,13082096.0,1213.67371,0.0,57.59328,313.0,Amsterdam
7636,12175068.0,1646.91577,0.0,47.77364,313.0,Amsterdam
7637,3806530.75,1635.73865,0.0,51.32988,263.0,Amsterdam
7638,542313.4375,1352.50366,0.0,55.68423,232.0,Amsterdam
7639,916217.8125,1863.20142,0.0,40.97959,182.0,Amsterdam
7640,568024.0625,1234.64661,0.0,46.79415,158.0,Amsterdam
7641,122111.79688,397.54691,0.0,21.72826,158.0,Amsterdam
7642,1561038.375,218.66992,0.0,43.69225,198.0,Amsterdam
7643,617396.875,1419.854,0.0,49.96517,256.0,Amsterdam
7644,310033.6875,798.63367,0.0,41.88684,277.0,Amsterdam
7645,298376.5,1433.30603,0.0,43.81225,276.0,Amsterdam
7646,138173.5,752.57166,0.0,39.67904,307.0,Amsterdam
7647,292692.09375,846.078,0.0,19.63062,307.0,Amsterdam
7648,672010.75,1603.81055,0.0,30.45209,400.0,Amsterdam
7649,387517.71875,1206.04736,0.0,11.47062,364.0,Amsterdam
7650,406711.6875,1195.72913,0.0,11.15264,402.0,Amsterdam
7651,12665.73926,875.20581,0.0,17.90488,447.0,Amsterdam
7652,49814.15625,1025.25696,0.0,11.04666,447.0,Amsterdam
7653,71182.33594,437.07379,0.0,31.10319,390.0,Amsterdam
7654,405744.03125,275.36664,0.0,27.46347,295.0,Amsterdam
7655,966615.5,1227.79187,0.0,34.80154,251.0,Amsterdam
7656,21459.36133,208.43243,0.0,12.98157,274.0,Amsterdam
7657,781146.5,370.70313,0.0,33.54367,274.0,Amsterdam
7658,418639.0625,647.89081,0.0,39.04519,326.0,Amsterdam
7659,531638.8125,532.30865,0.0,36.13976,263.0,Amsterdam
7660,395881.65625,407.31644,0.0,27.41961,215.0,Amsterdam
7661,569272.9375,279.88794,0.0,20.47359,240.0,Amsterdam
7662,15896.86133,63.57513,0.0,12.77493,24.0,Amsterdam
7663,15138.59766,23.72534,0.0,,24.0,Amsterdam
7664,3512.42676,7.83591,0.0,,26.0,Amsterdam
7665,3355.03174,0.26139,0.0,,26.0,Amsterdam
7666,1133.81677,7.74199,0.0,,26.0,Amsterdam
7667,176163.54688,0.0,0.0,,26.0,Amsterdam
7668,365755.71875,25.5605,0.0,,26.0,Amsterdam
7669,67839.13281,13.14947,0.0,,30.0,Amsterdam
7670,9808.14844,31.32327,0.0,,28.0,Amsterdam
7671,23972.75195,38.70996,0.0,,29.0,Amsterdam
7672,6154.30371,10.55448,0.0,,44.0,Amsterdam
7673,102853.42188,121.5344,11.47081,,44.0,Amsterdam
7674,536011.9375,315.31342,8.3845,29.03345,88.0,Amsterdam
7675,4525169.5,522.7334,0.0,37.87403,162.0,Amsterdam
7676,417015.21875,467.64471,0.0,39.00127,166.0,Amsterdam
7677,273403.6875,132.02321,0.0,22.91508,151.0,Amsterdam
7678,811688.875,96.50688,0.0,41.21633,152.0,Amsterdam
7679,798203.375,323.60263,0.0,32.79888,152.0,Amsterdam
7680,869398.0625,346.1232,0.0,33.28024,139.0,Amsterdam
7681,0.0,52.21471,0.0,22.97857,117.0,Amsterdam
7682,21680.61914,141.75052,0.0,17.64353,153.0,Amsterdam
7683,335021.46875,80.55745,0.0,10.94489,186.0,Amsterdam
7684,111.73782,7.07263,0.0,9.64589,21.0,Amsterdam
7685,768.51587,14.38465,0.0,1.48336,22.0,Amsterdam
7686,0.0,0.0,0.0,,22.0,Amsterdam
7687,18716.71875,4.62883,0.0,,24.0,Amsterdam
7688,26348.65234,21.86172,0.0,,25.0,Amsterdam
7689,1507.8728,3.01665,0.0,,27.0,Amsterdam
7690,30014.09961,6.64677,0.0,,30.0,Amsterdam
7691,95863.24219,41.94987,0.0,,30.0,Amsterdam
7692,12362.42578,59.35528,0.0,,35.0,Amsterdam
7693,199.82039,5.16133,0.0,,28.0,Amsterdam
7694,0.0,0.0,0.0,,28.0,Amsterdam
7695,11172.16406,14.77321,0.0,,41.0,Amsterdam
7696,57963.73047,147.04208,10.92441,,41.0,Amsterdam
7697,207276.9375,212.10641,1.65155,12.42255,88.0,Amsterdam
7698,747879.625,429.55197,0.0,25.55375,164.0,Amsterdam
7699,1073395.625,159.7715,0.0,34.35386,188.0,Amsterdam
7700,803635.125,71.23086,0.0,23.40315,167.0,Amsterdam
7701,271317.6875,69.29866,0.0,22.04014,149.0,Amsterdam
